Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
English,27676,28868,43450,30344,47155,40542,41269,41269,29998,29998,27517,31135,31135,27000,31135,27082,27000,29428,27313,27313,30642,33791,29643,133108,132978,27313,49564
Russian,120591,41700,–––,141165,–––,112391,–––,–––,55638,55638,138788,50385,50385,37294,50385,43671,37294,54838,67210,67210,40689,42379,103980,261354,143108,67210,122625
French,56747,38842,61802,54229,52287,55090,34503,58356,47996,47996,41851,45867,45867,36813,45867,43434,36813,47494,32963,32963,41414,47362,47845,165038,158700,32963,65815
Korean,–––,40255,–––,–––,–––,155708,–––,–––,73542,73542,138763,98302,98302,44388,98302,40254,44388,72586,75882,75882,31392,42907,–––,158811,66977,75882,63923
Japanese,40127,44660,–––,–––,–––,104498,–––,–––,64265,64265,80647,69389,69389,32431,69389,41612,32431,63714,49087,49087,30753,30524,–––,168121,57955,49087,49913
Hebrew,83016,40810,–––,–––,–––,156542,–––,–––,102261,102261,131361,102272,102272,43936,102272,99203,43936,101493,79469,79469,37674,41035,–––,184093,103066,79469,84962
Hungarian,72270,44161,65872,60462,–––,67828,73428,62074,60156,60156,65988,55666,55666,45136,55666,57385,45136,59360,56537,56537,38908,42515,88885,153612,139647,56537,69243
Norwegian Bokmål,54054,36110,56157,53347,47407,52468,56276,50754,47577,47577,45216,46531,46531,36149,46531,42079,36149,46743,44028,44028,33475,37505,66530,136043,133151,44028,62123
Hindi,70082,50915,–––,43481,–––,208682,–––,–––,136606,136606,198435,142521,142521,50022,142521,68385,50022,135777,34825,34825,37139,53495,–––,338106,132091,34825,–––
Finnish,63251,41844,65646,56340,61200,61868,64296,60204,60369,60369,56607,59365,59365,43626,59365,53744,43626,59508,51525,51525,37022,39145,77589,146842,141153,51525,70362
Spanish,57366,37145,64094,55426,54537,31887,59094,57258,47222,47222,42334,45114,45114,34197,45114,41787,34197,46522,33043,33043,37936,44234,66111,160955,158053,33043,68072
German,59682,36321,66466,59742,31747,59717,63515,59464,47443,47443,42218,43888,43888,33857,43888,42850,33857,46786,45932,45932,39634,40062,40814,157370,154821,45932,71372
Italian,57479,37577,64753,56894,60001,51165,56159,59287,48417,48417,42112,45612,45612,36378,45612,44438,36378,47668,44369,44369,38427,45316,64806,158271,157150,44369,70202
Dutch,57823,36769,64027,57218,54403,56869,57847,59159,47898,47898,42052,45577,45577,35917,45577,43258,35917,47166,46750,46750,36409,39336,65284,148765,148541,46750,68640
Chinese (Simplified),–––,40220,–––,–––,–––,95831,–––,–––,48333,48333,51984,61537,61537,29669,61537,35405,29669,47525,25568,25568,33479,30612,–––,121818,44263,25568,40708
Vietnamese,85813,37388,61435,60238,–––,113525,85761,58637,87403,87403,100336,90637,90637,37077,90637,37538,37077,86555,34570,34570,36170,65959,108074,184618,139607,34570,68330
Indonesian,56249,33015,61976,53265,57321,53992,57472,58650,55267,55267,50595,54662,54662,29982,54662,41732,29982,54505,26176,26176,28532,36324,66571,143547,143418,26176,66460
Romanian,64253,43676,63364,53841,49551,66045,63438,56933,54407,54407,47880,52844,52844,42041,52844,50675,42041,53704,52211,52211,41381,45995,44660,157973,149619,52211,66020
Ukrainian,109851,44289,–––,132224,–––,113871,–––,–––,58093,58093,137097,53346,53346,44782,53346,44427,44782,57271,74696,74696,38993,44589,102256,246954,135514,74696,115611
Serbian,102863,45294,–––,130367,–––,111239,–––,–––,57005,57005,127942,53608,53608,47436,53608,59170,47436,56168,70164,70164,38000,43830,99502,239014,131802,70164,83882
Croatian,60338,38993,61080,54920,48379,56962,58654,55443,53533,53533,52614,51600,51600,43135,51600,47884,43135,52729,48936,48936,35557,43669,72189,133639,129926,48936,67013
Danish,54747,37640,55183,53750,45859,53854,57324,49711,49046,49046,47218,47891,47891,37406,47891,43868,37406,48257,45607,45607,33851,38433,67171,139376,136471,45607,63449
Catalan,56047,39597,60025,52671,52152,46858,54676,55240,48599,48599,47574,46886,46886,41205,46886,46170,41205,47884,32357,32357,38235,46002,63534,149841,146808,32357,64061
Standard Arabic,89926,44050,25540,99446,–––,131085,–––,–––,104144,104144,119118,106265,106265,40242,106265,44697,40242,103449,31144,31144,42662,45339,–––,212288,117332,31144,26976
Turkish,66575,40389,63169,60625,41708,68355,67983,48141,66510,66510,63072,65137,65137,37848,65137,37706,37848,65634,53502,53502,34871,37784,79453,148925,136790,53502,71895
Czech,67598,41545,59521,54407,–––,68753,66245,55751,55899,55899,51881,52555,52555,40519,52555,40621,40519,55107,55211,55211,38556,42992,80716,143427,128269,55211,64800
Thai,–––,78226,–––,–––,–––,244240,–––,–––,126587,126587,226957,135331,135331,50258,135331,59825,50258,125704,126236,126236,46582,33403,–––,366122,127374,126236,–––
Bengali,77289,54212,–––,47783,–––,259464,–––,–––,146969,146969,259768,166550,166550,72484,166550,156518,72484,146445,31791,31791,39139,52965,–––,345694,130054,31791,–––
Bulgarian,114677,44817,–––,137043,–––,108913,–––,–––,57754,57754,130352,55244,55244,43958,55244,55184,43958,56921,67908,67908,39926,43133,99364,251592,138838,67908,116699
Greek,131635,64394,–––,–––,–––,195734,–––,31258,157274,157274,172121,155017,155017,62118,155017,60698,62118,36465,103823,103823,50332,55529,–––,288475,158793,103823,133506
