Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
English,0.0,0.0,0.0,0.0,0.0,0.0,0.00019385010540599483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032634945499641015,0.0,6.746955436359343e-05,0.0,0.0,0.0,0.0
Russian,0.0,0.0,0.9567327809858566,0.04235469131866964,0.954768598162212,0.0,0.6740414630203087,0.9522211502160326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009339133426724668,0.00021236933386818943,0.18872860165416427,0.0,0.0,0.0,0.0
French,0.0,0.0,0.0,0.0002766047686662118,0.1906209956585767,0.0,0.00043474480479958265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3023437859741218e-05,0.0,0.0,0.0,0.0,0.004032452793741247,0.00027448165195726533,0.0005434214651478733,0.0,0.0,0.0,0.0
Korean,0.9058618320207199,0.0,0.9192708333333334,0.6853387438249824,0.9133161195130948,0.0,0.6855098809593619,0.913441794345285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000605249745158002,6.991866129069849e-05,0.6854057860454199,0.0,0.0,0.0,0.0035198598313596046
Japanese,0.4093503127569965,0.0,0.8711333789755399,0.9456852791878173,0.9777632439502943,0.0,0.9461770623742455,0.8691306513887159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008454459727506259,0.0,0.9460486322188449,0.0,0.0,0.0,0.02620559774006772
Hebrew,0.018032668401272045,0.0,0.924717125726908,0.786225734592129,0.9417879417879418,0.0,0.7862609570721114,0.9424684710216806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015926102882624622,0.00017058608504934812,0.7862668220832891,0.0,0.0,0.0,0.0
Hungarian,0.0,0.0,0.0,0.0006946511858688102,0.5351452424218482,0.0,0.07054529607234297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010794695178369487,0.00028225332235681523,0.017550767846093267,0.0,0.0,0.0,0.0
Norwegian Bokmål,0.0,0.0,0.009918621008957032,0.0,0.11108064209926805,0.0,0.02002629895514962,0.05950269929463688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013442867811799852,0.0,0.019930858259431836,0.0,0.0,0.0,0.0
Hindi,0.418338517736366,0.0,0.965516042687802,0.3054437570433063,0.9679203924706865,0.0,0.7788337417918545,0.9654536598942388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.311544929443592e-05,0.0,0.0,0.0,0.0,0.0004308139691429495,0.0,0.7787961542778048,0.0,0.0,0.0,0.8852469389692157
Finnish,0.0,0.0,0.0,0.0001597444089456869,0.0,0.0,0.039660321015304215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043217546323807466,0.00015327628049559332,0.00029643377282862263,0.0,0.0,0.0,0.0
