Language,BERTbase,mBERT,MARBERT,IndicBERT,GermanBERT,SpaBERTa,CamemBERT,GreekBERT,Mixtral,Mistral,Falcon,Phi_Mini,Phi_MOE,Gemma,LLAMA,Llama3,SILMA,Meltemi,BloomZ,Bloom,NLLB,mT5,FlanT5,ByT5,CANINE,BLOOM,ArabicBERT
English,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0
Russian,0,0,22864,5979,22755,0,54199,22700,0,0,0,0,0,0,0,0,0,0,0,0,38,9,19624,0,0,0,0
French,0,0,0,15,9967,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,167,13,26,0,0,0,0
Korean,17138,0,17650,23307,17332,0,23380,17349,0,0,0,0,0,0,0,0,0,0,0,0,19,3,23360,0,0,0,225
Japanese,16426,0,27993,3726,31395,0,3762,27913,0,0,0,0,0,0,0,0,0,0,0,0,26,0,3735,0,0,0,1308
Hebrew,1497,0,20513,29647,19932,0,29690,19953,0,0,0,0,0,0,0,0,0,0,0,0,6,7,29680,0,0,0,0
Hungarian,0,0,0,42,20320,0,5180,0,0,0,0,0,0,0,0,0,0,0,0,0,42,12,1560,0,0,0,0
Norwegian Bokmål,0,0,557,0,5266,0,1127,3020,0,0,0,0,0,0,0,0,0,0,0,0,45,0,1326,0,0,0,0
Hindi,29318,0,27775,13281,27819,0,41631,27751,0,0,0,0,0,0,0,5,0,0,0,0,16,0,41636,0,0,0,27980
Finnish,0,0,0,9,0,0,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,23,0,0,0,0
Spanish,0,0,0,16,7481,0,924,0,0,0,0,0,0,0,0,0,0,0,0,0,48,10,443,0,0,0,0
German,0,0,556,120,0,0,946,399,0,0,0,0,0,0,0,1,0,0,0,0,42,1,10,0,0,0,0
Italian,0,0,0,0,1143,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,62,0,0,0,0
Dutch,0,0,0,6,265,0,21,0,0,0,0,0,0,0,0,4,0,0,0,0,5,4,69,0,0,0,0
Chinese (Simplified),21735,0,33329,6966,36424,0,7072,30113,0,0,0,0,0,0,0,0,0,0,0,0,524,0,6956,0,0,0,4659
