,Llama2 7B
ace_Arab,4.279265365600586
ace_Latn,7.874951634407044
acm_Arab,2.889382390975952
acq_Arab,2.86845085144043
aeb_Arab,3.197906858921051
afr_Latn,5.49398351430893
ajp_Arab,3.1124366188049315
aka_Latn,7.048551578521728
als_Latn,5.357797920703888
amh_Ethi,1.7312287139892577
apc_Arab,3.0523303258419037
arb_Arab,2.647706413269043
arb_Latn,6.434791774749756
ars_Arab,2.665109360218048
ary_Arab,3.449104678630829
arz_Arab,3.0203623616695405
asm_Beng,2.317650090456009
ast_Latn,6.525629339218139
awa_Deva,2.8018980181217192
ayr_Latn,8.319269485473633
azb_Arab,4.049242091178894
azj_Latn,4.921203680038452
bak_Cyrl,5.604092259407043
bam_Latn,7.883902907371521
ban_Latn,6.703341400623321
bel_Cyrl,5.682612175941467
bem_Latn,7.644152574539184
ben_Beng,2.076774026155472
bho_Deva,2.8241018688678743
bjn_Arab,4.04137633562088
bjn_Latn,7.040011658668518
bod_Tibt,2.3924047923088074
bos_Latn,4.012379467487335
bug_Latn,8.562101831436157
bul_Cyrl,3.7675456833839416
cat_Latn,4.054094414710999
ceb_Latn,5.726131682395935
ces_Latn,3.7655651342868803
cjk_Latn,8.147948007583619
ckb_Arab,3.5307745957374572
crh_Latn,6.1604785108566285
cym_Latn,5.431793591976166
dan_Latn,4.157535474300385
deu_Latn,3.981883018016815
dik_Latn,7.831098446846008
dyu_Latn,8.448221950531005
dzo_Tibt,2.3839572501182555
ell_Grek,1.914080638885498
eng_Latn,4.105690006017685
epo_Latn,6.485770447254181
est_Latn,6.275674066543579
eus_Latn,7.0322165250778195
ewe_Latn,7.577551908493042
fao_Latn,6.681146574020386
fij_Latn,6.630716571807861
fin_Latn,3.541106903553009
fon_Latn,6.243501482009887
fra_Latn,3.687561345100403
fur_Latn,8.39587172985077
fuv_Latn,8.484535183906555
gaz_Latn,7.215441036224365
gla_Latn,4.999639003276825
gle_Latn,5.04145751953125
glg_Latn,5.907279679775238
grn_Latn,8.394916563034057
guj_Gujr,1.326408560872078
hat_Latn,7.658948912620544
hau_Latn,7.386001591682434
heb_Hebr,2.9464733147621156
hin_Deva,1.9646753537654877
hne_Deva,2.926691120862961
hrv_Latn,3.915265419483185
hun_Latn,3.8165643787384034
hye_Armn,2.5573682487010956
ibo_Latn,6.1459304094314575
ilo_Latn,7.156255950927735
ind_Latn,3.5458274269104004
isl_Latn,5.4729533815383915
ita_Latn,3.8057808089256286
jav_Latn,7.3175407934188845
jpn_Jpan,2.749940986633301
kab_Latn,9.103916015625
kac_Latn,7.636562509536743
kam_Latn,7.690553388595581
kan_Knda,1.262574513554573
kas_Arab,4.169404397010803
kas_Deva,3.7276919960975645
kat_Geor,2.475406843423843
kaz_Cyrl,5.412338922023773
kbp_Latn,5.854442796707153
kea_Latn,8.43009503364563
khk_Cyrl,4.8678194260597225
khm_Khmr,1.4618161249160766
kik_Latn,7.043941712379455
kin_Latn,7.001323409080506
kir_Cyrl,6.110154175758362
kmb_Latn,7.713255915641785
kmr_Latn,7.425324521064758
knc_Arab,3.9842856907844544
knc_Latn,7.309594507217407
kon_Latn,7.443715519905091
kor_Hang,2.0993977010250093
lao_Laoo,1.4244526290893555
lij_Latn,7.951998343467713
lim_Latn,7.625059142112732
lin_Latn,7.8084623241424564
lit_Latn,5.71175742149353
lmo_Latn,8.244488415718079
ltg_Latn,8.335415787696839
ltz_Latn,7.876151337623596
lua_Latn,7.980351257324219
lug_Latn,7.249750928878784
luo_Latn,8.897040734291076
lus_Latn,8.111594505310059
lvs_Latn,5.50593113899231
mag_Deva,2.769324442148209
mai_Deva,3.150975379943848
mal_Mlym,2.32028675198555
mar_Deva,2.582687785625458
min_Arab,4.200276505947113
min_Latn,7.325233645439148
mkd_Cyrl,5.353108901977539
mlt_Latn,5.748023533821106
mni_Beng,3.6012152290344237
mos_Latn,8.1927525472641
mri_Latn,5.011410126686096
mya_Mymr,1.9090399658679962
nld_Latn,3.903569242954254
nno_Latn,5.549700632095337
nob_Latn,4.4105202293396
npi_Deva,2.5248974323272706
nso_Latn,7.449301238059998
nus_Latn,7.467739195823669
nya_Latn,6.829759025573731
oci_Latn,6.777917470932007
ory_Orya,1.284627740383148
pag_Latn,8.485732598304748
pan_Guru,1.4822853565216065
pap_Latn,7.843570737838745
pbt_Arab,3.4672112345695494
pes_Arab,2.4061853075027466
plt_Latn,6.998904490470887
pol_Latn,3.717734866142273
por_Latn,4.017312686443329
prs_Arab,2.527379039525986
quy_Latn,7.2056734657287596
ron_Latn,3.723345308303833
run_Latn,7.302266373634338
rus_Cyrl,3.52573216676712
sag_Latn,7.3797700262069705
san_Deva,2.9899043440818787
sat_Olck,1.8527245974540711
scn_Latn,7.402440795898437
shn_Mymr,2.5463729333877563
sin_Sinh,1.6205839836597442
slk_Latn,4.800975823402405
slv_Latn,4.220933336019516
smo_Latn,6.214290776252747
sna_Latn,6.998652658462524
snd_Arab,3.6629193663597106
som_Latn,6.421177778244019
sot_Latn,7.355881843566895
spa_Latn,3.9056215190887453
srd_Latn,8.07286940574646
srp_Cyrl,3.891357138156891
ssw_Latn,7.447171111106872
sun_Latn,7.2520437431335445
swe_Latn,4.324940445423127
swh_Latn,5.692754664421082
szl_Latn,7.332305941581726
tam_Taml,1.9776821267604827
taq_Latn,7.879040288925171
taq_Tfng,2.3294227743148803
tat_Cyrl,6.134550008773804
tel_Telu,1.196688683629036
tgk_Cyrl,6.4397770166397095
tgl_Latn,4.6036409306526185
tha_Thai,2.427074728012085
tir_Ethi,1.9630557358264924
tpi_Latn,6.9707966327667235
tsn_Latn,7.1523650598526
tso_Latn,7.743689646720886
tuk_Latn,7.472556834220886
tum_Latn,7.063628001213074
tur_Latn,4.146230456829071
twi_Latn,7.212462244033813
tzm_Tfng,1.9065719950199127
uig_Arab,3.600245499610901
ukr_Cyrl,3.708988971710205
umb_Latn,8.409006390571594
urd_Arab,2.50652747631073
uzn_Latn,7.1576269292831425
vec_Latn,7.82232617855072
vie_Latn,2.2026771068573
war_Latn,6.603780074119568
wol_Latn,8.895594687461854
xho_Latn,6.915731792449951
ydd_Hebr,3.208245198726654
yor_Latn,5.834797942638398
yue_Hant,2.9520889043807985
zho_Hans,3.044848070144653
zho_Hant,3.004701075553894
zsm_Latn,4.0006488108634946
zul_Latn,6.350908360481262
