language,flores_code,ip_flores,model,ip_mean,ip_std,ip_median,tp
Standard Arabic,arb_Arab,ar,Phi-Mini,0.6533238007468591,0.12569998226771675,0.6532059263916185,3.413039987152722
Assamese,asm_Beng,as,Phi-Mini,0.2364001658100278,0.05528931261253718,0.23091911934851955,6.112220973181307
North Azerbaijani,azj_Latn,aj,Phi-Mini,0.2872824364966255,0.06829765261961704,0.28070142565765016,2.6016059097478723
Bengali,ben_Beng,bn,Phi-Mini,0.33383535161318256,0.07804898496491089,0.3274288663941504,5.349285370162197
Bulgarian,bul_Cyrl,bg,Phi-Mini,0.36015767352472233,0.0807740908410995,0.35379602832435925,1.7743375622290027
Catalan,cat_Latn,ca,Phi-Mini,0.4806960290873064,0.09958356078810772,0.4772411841999859,1.5058936887746908
Czech,ces_Latn,cs,Phi-Mini,0.5420196084483961,0.11172146346782602,0.5362537536621091,1.6879717359884374
Central Kurdish,ckb_Arab,ck,Phi-Mini,0.2427123525974746,0.05673773943150596,0.23674633154129898,4.430319576039826
Danish,dan_Latn,da,Phi-Mini,0.5594271408206096,0.10870221969595593,0.5527795650577269,1.5381724747069214
German,deu_Latn,de,Phi-Mini,0.834253281798351,0.13708437357042758,0.8317003854750925,1.4096033402922756
Greek,ell_Grek,el,Phi-Mini,0.4429209634553456,0.09628900100891029,0.4361148696801713,4.978866227718003
Estonian,est_Latn,et,Phi-Mini,0.2909606495239916,0.07240232896784464,0.28626405126223414,1.7605588565922594
Basque,eus_Latn,eu,Phi-Mini,0.29131653929919715,0.06739237494922459,0.28444999793991166,1.788405331620363
Finnish,fin_Latn,fi,Phi-Mini,0.4748284632920957,0.09843910857202584,0.46970157102293464,1.906696643648627
French,fra_Latn,fr,Phi-Mini,0.8761157370321151,0.13889166855312712,0.8706260350011057,1.473165248113056
Gujarati,guj_Gujr,gu,Phi-Mini,0.2738213466902416,0.06530345119150387,0.27148390342729567,9.964926931106472
Haitian Creole,hat_Latn,ht,Phi-Mini,0.3015919562924923,0.06927761992132284,0.2947476918756441,1.5713826882929178
Hebrew,heb_Hebr,he,Phi-Mini,0.5222922422353345,0.11068783870324607,0.5147369803608618,3.2847920346876505
Hindi,hin_Deva,hi,Phi-Mini,0.5832734290463272,0.12456473775892997,0.5726345719289869,4.577517263529789
Croatian,hrv_Latn,hr,Phi-Mini,0.3780314259082148,0.08448106935665291,0.36987870808314693,1.657298859804079
Hungarian,hun_Latn,hu,Phi-Mini,0.4782790560665847,0.09967416325539291,0.4742945012072526,1.7878914405010438
Indonesian,ind_Latn,id,Phi-Mini,0.5725131582714376,0.10886430652207282,0.5686229804420351,1.7556447727637707
Italian,ita_Latn,it,Phi-Mini,0.8120074351498794,0.13340850202952398,0.8032207177446539,1.464975108398908
Japanese,jpn_Jpan,ja,Phi-Mini,0.7235985095162135,0.14179752872142548,0.7228888457135616,2.2286494299020396
Kannada,kan_Knda,kn,Phi-Mini,0.2618208496858905,0.05953151644959352,0.2572251952528448,10.810663240725871
Georgian,kat_Geor,ka,Phi-Mini,0.2903741592341153,0.0665533779619712,0.28741788099525534,4.842299662758953
Korean,kor_Hang,ko,Phi-Mini,0.6423431507987832,0.12914362821039832,0.6368524634818236,3.1572828007066005
Ligurian,lij_Latn,lj,Phi-Mini,0.2652331230508784,0.06237694899321866,0.25758706944171444,1.8386703067287617
Standard Latvian,lvs_Latn,iv,Phi-Mini,0.31284375402948755,0.06895818512450304,0.30851464678502283,2.0858840533162035
Malayalam,mal_Mlym,ml,Phi-Mini,0.2495017369158284,0.0590126967028506,0.2463898476195951,5.532037899470049
Marathi,mar_Deva,mr,Phi-Mini,0.27716090688253275,0.06192453735111739,0.27110938064252565,4.57587923558696
Burmese,mya_Mymr,my,Phi-Mini,0.2357630339265036,0.05559221427272397,0.2296534457543961,8.347069214710134
Dutch,nld_Latn,nl,Phi-Mini,0.7225680347918656,0.13837294160148914,0.7158266339024921,1.4638509715753976
Norwegian Bokmål,nob_Latn,no,Phi-Mini,0.5295160979608418,0.10478808303238454,0.5232108387812086,1.4944917295647984
Nepali,npi_Deva,np,Phi-Mini,0.3057112421527628,0.06958602596636816,0.2998426546317715,4.480745142123013
Northern Sotho,nso_Latn,ns,Phi-Mini,0.2365550156395207,0.05797755939703731,0.2290151034241279,2.0127188052031477
Odia,ory_Orya,or,Phi-Mini,0.2388785663014493,0.05689499383984865,0.23504517500925587,11.537016219688454
Eastern Panjabi,pan_Guru,pa,Phi-Mini,0.2620519821329919,0.06275364660471769,0.2571568051372941,9.434912477918742
Portuguese,por_Latn,pr,Phi-Mini,0.8269295146940783,0.13095714136776607,0.829153040145077,1.4164766340131685
Ayacucho Quechua,quy_Latn,qu,Phi-Mini,0.2716209906780059,0.06657371347592252,0.26504849536468816,1.9656977677854504
Romanian,ron_Latn,ro,Phi-Mini,0.47667086095369987,0.09626317662421219,0.4753136861059796,1.6972538943311386
Russian,rus_Cyrl,ru,Phi-Mini,0.7453684926106251,0.15735816017822427,0.7382232644096527,1.6182752529307853
Spanish,spa_Latn,es,Phi-Mini,0.7956321643354642,0.13751625498605952,0.7934352783999805,1.4489802473101012
Serbian,srp_Cyrl,sr,Phi-Mini,0.3073174992167517,0.06739567324929774,0.301936815188833,1.7217921952786253
Swahili,swh_Latn,sw,Phi-Mini,0.3467332760911073,0.07772839917828549,0.3400985619035499,1.85251324875542
Tamil,tam_Taml,ta,Phi-Mini,0.32274101729220683,0.07720173358442996,0.31587511797431145,5.859001124136824
Telugu,tel_Telu,te,Phi-Mini,0.2745370469197103,0.06412623219132338,0.27014002769132234,10.657652159948611
Thai,tha_Thai,th,Phi-Mini,0.5121074555454554,0.12234882493700573,0.5047890857886048,4.346587441785772
Turkish,tur_Latn,tr,Phi-Mini,0.51557757947788,0.10788420395047212,0.5123820860983153,2.09208286494299
Ukrainian,ukr_Cyrl,uk,Phi-Mini,0.5557191617709836,0.11987935684469928,0.5447859447156638,1.7133772281997752
Urdu,urd_Arab,ur,Phi-Mini,0.33418220765802237,0.07533370015411653,0.3305101916121529,4.3470692147101335
Vietnamese,vie_Latn,vi,Phi-Mini,0.5099087603838616,0.10395889171323844,0.5037843782165812,2.9110968363577965
Chinese (Simplified),zho_Hans,zh,Phi-Mini,0.7305814799502759,0.1463671566372495,0.7267395931122891,1.976457363096194
Standard Malay,zsm_Latn,ms,Phi-Mini,0.49082327763077016,0.09952927604035809,0.4816750348897146,1.8151597880199133
Standard Arabic,arb_Arab,ar,Gemma,0.6659704097882614,0.11599811513429441,0.6674439637799148,1.4904444444444445
Assamese,asm_Beng,as,Gemma,0.43851510295879575,0.09079146582718899,0.4321410436063033,3.234037037037037
North Azerbaijani,azj_Latn,aj,Gemma,0.5457323110105742,0.11045161897413155,0.5407858328642031,2.098888888888889
Bengali,ben_Beng,bn,Gemma,0.5662934936942515,0.10660059938018535,0.5591133109763258,2.6845925925925926
Bulgarian,bul_Cyrl,bg,Gemma,0.6996014610959362,0.11366650988203313,0.6979103806701756,1.628074074074074
Catalan,cat_Latn,ca,Gemma,0.6977021364573528,0.10923412793511224,0.6948665248557004,1.5261111111111112
Czech,ces_Latn,cs,Gemma,0.720663860656187,0.11349105540949536,0.7178965288518115,1.5007037037037037
Central Kurdish,ckb_Arab,ck,Gemma,0.4104835317160419,0.08483714507948129,0.4021239650963093,2.8732962962962962
Danish,dan_Latn,da,Gemma,0.7167643120328651,0.10972993163330566,0.7139461646352363,1.3854074074074074
German,deu_Latn,de,Gemma,0.7790300494218962,0.11486312456436062,0.7767903801188447,1.253962962962963
Greek,ell_Grek,el,Gemma,0.6612878963686615,0.11465662813107746,0.6593215984916949,2.300666666666667
Estonian,est_Latn,et,Gemma,0.6136004508495204,0.11359795310512912,0.60512467238507,1.6274444444444445
Basque,eus_Latn,eu,Gemma,0.5461371764248517,0.10473007295399453,0.5419117239998271,1.6870370370370371
Finnish,fin_Latn,fi,Gemma,0.6725482555222783,0.11501112388398657,0.6686680791656168,1.6157777777777778
French,fra_Latn,fr,Gemma,0.7988006973269732,0.11981718910712905,0.7999939724285425,1.3634444444444445
Gujarati,guj_Gujr,gu,Gemma,0.5367094299505206,0.10642395028123791,0.5301187726332812,3.022037037037037
Haitian Creole,hat_Latn,ht,Gemma,0.39973772698932997,0.07767439666533302,0.39488799582713063,1.5369629629629629
Hebrew,heb_Hebr,he,Gemma,0.6992228074855013,0.1150651641875741,0.6981486583120478,1.6272592592592592
Hindi,hin_Deva,hi,Gemma,0.633626435755295,0.10942355340106052,0.6308200041342529,1.8526666666666667
Croatian,hrv_Latn,hr,Gemma,0.6730215597316389,0.1158234319451263,0.6710335882645879,1.5975925925925927
Hungarian,hun_Latn,hu,Gemma,0.6792618127247981,0.11252785946201715,0.6762784400582889,1.6717037037037037
Indonesian,ind_Latn,id,Gemma,0.722624443806066,0.10693592040977322,0.7173413208922963,1.1104444444444443
Italian,ita_Latn,it,Gemma,0.757303868828411,0.11011808253347806,0.7584222673137593,1.3473333333333333
Japanese,jpn_Jpan,ja,Gemma,0.7301393060281843,0.12842687864290767,0.7284555939551667,1.201148148148148
Kannada,kan_Knda,kn,Gemma,0.5410454417335496,0.11338121531175567,0.5337246445970333,3.3203703703703704
Georgian,kat_Geor,ka,Gemma,0.5495211410517459,0.10925011631704698,0.5454256915498531,3.697925925925926
Korean,kor_Hang,ko,Gemma,0.6664632983144275,0.11720540768600977,0.6649621986490761,1.644
Ligurian,lij_Latn,lj,Gemma,0.3305612213051843,0.06709220878155886,0.3256321021018529,1.8514444444444444
Standard Latvian,lvs_Latn,iv,Gemma,0.6000249334259854,0.11241187370113902,0.6005747228312373,1.8140370370370371
Malayalam,mal_Mlym,ml,Gemma,0.5573083919444385,0.10693568837839874,0.5521597291582068,3.2542962962962965
Marathi,mar_Deva,mr,Gemma,0.5231473443340348,0.09519327968282913,0.5197687122944826,2.261185185185185
Burmese,mya_Mymr,my,Gemma,0.41594278868514856,0.08861018811036003,0.4084395180369998,4.840592592592593
Dutch,nld_Latn,nl,Gemma,0.7501593084035734,0.12450126242059384,0.7408520728295362,1.3302592592592593
Norwegian Bokmål,nob_Latn,no,Gemma,0.6882050009655866,0.10728339541069319,0.6854399836828109,1.338851851851852
Nepali,npi_Deva,np,Gemma,0.5292257016915943,0.10233629828568992,0.5234078273042826,2.1265185185185187
Northern Sotho,nso_Latn,ns,Gemma,0.3509551985452234,0.07400893611827748,0.34864572598022137,1.9945555555555556
Odia,ory_Orya,or,Gemma,0.24914408071657287,0.05472690312330074,0.24414499039305043,5.031592592592593
Eastern Panjabi,pan_Guru,pa,Gemma,0.49114008651273533,0.10409866495024435,0.4832125674545047,3.240666666666667
Portuguese,por_Latn,pr,Gemma,0.7661398675081457,0.1105975109952842,0.7700793147311801,1.2312592592592593
Ayacucho Quechua,quy_Latn,qu,Gemma,0.32496537929752045,0.07327472028950875,0.320042090629026,1.830851851851852
Romanian,ron_Latn,ro,Gemma,0.6994744065416945,0.1062009532971087,0.6967270386722708,1.557074074074074
Russian,rus_Cyrl,ru,Gemma,0.7815171012477312,0.1319387068259975,0.780236326444698,1.3812592592592592
Spanish,spa_Latn,es,Gemma,0.7448366091708973,0.1164182950985643,0.7409861234338413,1.2665555555555557
Serbian,srp_Cyrl,sr,Gemma,0.6475600767251716,0.10883029686114386,0.6483274388326039,1.756888888888889
Swahili,swh_Latn,sw,Gemma,0.5761750785995826,0.10396799565232216,0.5780890579132199,1.6117037037037036
Tamil,tam_Taml,ta,Gemma,0.5690675555967367,0.11301375993903083,0.5632284614280162,2.5985185185185187
Telugu,tel_Telu,te,Gemma,0.5461728176643851,0.11209879342738015,0.5391195496567438,2.8757407407407407
Thai,tha_Thai,th,Gemma,0.680742321741834,0.1213679930761308,0.6805724815144951,1.8614074074074074
Turkish,tur_Latn,tr,Gemma,0.6741456275580209,0.11126529797344602,0.6721494794367605,1.4017777777777778
Ukrainian,ukr_Cyrl,uk,Gemma,0.7209693870493942,0.11841232895171099,0.7166930916812833,1.6585925925925926
