avg_f1,avg_em,lang
0.5407167919371151,0.3181818181818182,english-kenya
0.45762323508236896,0.28447339847991315,arabic-sau
0.5964644165906573,0.3613636363636364,english-nzl
0.4457820524813404,0.2757871878393051,arabic-mar
0.6004077247246042,0.3795454545454545,english-irl
0.5736979536961785,0.3477272727272727,english-ind_n
0.45141933316157506,0.28121606948968514,arabic-jor
0.448329084347913,0.28013029315960913,arabic-tun
0.5885918385401662,0.35454545454545455,english-phl
0.5665328910450356,0.3477272727272727,english-nga
0.3501433980801265,0.1419491525423729,swahili-kenya
0.45600016364860035,0.28230184581976114,arabic-bhr
0.3209309106290161,0.1271186440677966,swahili-tanzania
0.17678044669195112,0.05309734513274336,bengali-ind
0.593847458271387,0.36363636363636365,english-aus
0.455834525075538,0.28447339847991315,arabic-dza
0.5433002924592031,0.3159090909090909,english-ind_s
0.19233038348082596,0.07079646017699115,bengali-dhaka
0.4819862036292582,0.391304347826087,korean-korn
0.5002088435624245,0.40217391304347827,korean-kors
0.6085356509986635,0.37272727272727274,english-usa
0.5961558046068329,0.3704545454545455,english-gbr
0.5949524540620722,0.3613636363636364,english-zaf
0.4417662365165915,0.2779587404994571,arabic-egy
