avg_f1,avg_em,lang
0.43133674116317244,0.2840909090909091,english-kenya
0.6046528043520719,0.4126374048735491,all
0.3616125084756409,0.2269272529858849,arabic-sau
0.4625325579576852,0.30227272727272725,english-nzl
0.3610820473496594,0.22366992399565688,arabic-mar
0.46222404401643175,0.2909090909090909,english-irl
0.44303839895680897,0.2818181818181818,english-ind_n
0.36068626537892384,0.22258414766558088,arabic-jor
0.3583506776907564,0.22149837133550487,arabic-tun
0.4551395081191427,0.2818181818181818,english-phl
0.45287594906739953,0.28863636363636364,english-nga
0.4436951898710688,0.3389830508474576,swahili-kenya
0.35952523632407,0.2247557003257329,arabic-bhr
0.410628668170393,0.3093220338983051,swahili-tanzania
0.3255794353139486,0.18584070796460178,bengali-ind
0.45832319958311635,0.28863636363636364,english-aus
0.3572091197843932,0.22366992399565688,arabic-dza
0.4313545140058825,0.2727272727272727,english-ind_s
0.3494943109987357,0.22123893805309736,bengali-dhaka
0.4325247918316601,0.3333333333333333,korean-korn
0.4145200067616577,0.31521739130434784,korean-kors
0.4795117137148045,0.30454545454545456,english-usa
0.47198657921272313,0.3090909090909091,english-gbr
0.46428045636319487,0.3,english-zaf
0.345871296062919,0.21715526601520088,arabic-egy
