avg_f1,avg_em,lang
0.47728771231618267,0.25,english-kenya
0.450494544968899,0.26275787187839306,arabic-sau
0.5099986977803842,0.2840909090909091,english-nzl
0.44614182894313226,0.252985884907709,arabic-mar
0.5022577790796043,0.2772727272727273,english-irl
0.4853210113525986,0.2636363636363636,english-ind_n
0.45349404282744354,0.26167209554831705,arabic-jor
0.4533287142607012,0.256243213897937,arabic-tun
0.5158216085435555,0.2909090909090909,english-phl
0.4883047392907739,0.27045454545454545,english-nga
0.5510346696840833,0.4025423728813559,swahili-kenya
0.46244857665804534,0.2692725298588491,arabic-bhr
0.4961701043264907,0.3559322033898305,swahili-tanzania
0.3496418036241044,0.07964601769911504,bengali-ind
0.5237041418535291,0.3068181818181818,english-aus
0.458517744191833,0.26167209554831705,arabic-dza
0.4480884430386463,0.24545454545454545,english-ind_s
0.35747295968534887,0.08849557522123894,bengali-dhaka
0.39137961508007196,0.2572463768115942,korean-korn
0.3866746783099178,0.2608695652173913,korean-kors
0.5285349762005671,0.29772727272727273,english-usa
0.513468242018682,0.28863636363636364,english-gbr
0.5189964102857992,0.29318181818181815,english-zaf
0.443682927439417,0.255157437567861,arabic-egy
